2019,Institution_Name,Country,Classification,,,,,Academic_Reputation,Academic_Reputation_Rank,Employer_Reputation,Employer_Reputation_Rank,Faculty_Student,Faculty_Student_Rank,Citations_per_Faculty,Citations_per_Faculty_Rank,International_Faculty,International_Faculty_Rank,International_Students,International_Students_Rank,Overall_Score,Continent
91,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),Australia,L,FC,VH,5,A,60,112,58.6,131,24,584,88.4,40,100,29,94.7,81,62.2,Oceania
92,LUND UNIVERSITY,Sweden,L,FC,VH,5,A,67.2,88,52.6,157,57.4,271,51.2,220,89.6,169,71.8,181,62.1,Europe
93,UNIVERSITY OF LEEDS,United Kingdom,XL,FC,VH,5,A,67.1,89,83.8,62,49.9,305,41.7,313,84.6,191,81.6,141,62,Europe
93,BOSTON UNIVERSITY,United States,L,FC,VH,5,B,62.4,105,66,106,70.8,192,51.9,215,28.6,461,87,119,62,North America
95,PENNSYLVANIA STATE UNIVERSITY,United States,XL,FC,VH,5,A,77.7,70,70.4,100,26.8,542,77.8,69,14.1,601+,40.3,344,61.9,North America
96,UNIVERSITY OF SOUTHAMPTON,United Kingdom,L,FC,VH,5,A,53.1,136,53.4,152,65.5,222,62.4,136,95.3,130,89.4,108,61.6,Europe
97,UNIVERSITY OF ST ANDREWS,United Kingdom,M,FC,VH,5,A,43.2,181,47.7,181,69,206,77,73,99,74,99.9,25,61.4,Europe
98,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,China,L,CO,VH,4,A,53.7,135,35.9,262,74.2,178,98.4,17,15.9,583,5.9,601+,60.8,Asia
99,EINDHOVEN UNIVERSITY OF TECHNOLOGY,Netherlands,M,FO,VH,4,A,29.7,275,51.2,165,82.1,136,94.9,25,97.7,99,47.5,302,59.8,Europe
100,SUNGKYUNKWAN UNIVERSITY,South Korea,L,FC,VH,5,B,55,132,81.8,69,88.3,95,43.5,295,21.1,514,34,396,59.5,Asia
100,PURDUE UNIVERSITY,United States,XL,FC,VH,5,A,65.7,92,60.7,124,35.2,431,58.3,176,97.5,104,69.2,195,59.5,North America
100,"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",United States,XL,FC,VH,5,A,71.4,78,40.4,227,33.8,450,73.5,83,56.7,305,49.5,292,59.5,North America
100,WASHINGTON UNIVERSITY IN ST. LOUIS,United States,L,FC,VH,5,B,43.4,179,18.7,485,99.8,29,67.2,115,74.1,231,60.1,242,59.5,North America
104,TRINITY COLLEGE DUBLIN (TCD),Ireland,L,FC,VH,5,A,58.8,117,55.6,141,39.9,387,63.1,132,98.7,83,91.2,96,59.3,Europe
104,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,L,CO,VH,5,A,45.5,170,69.5,101,60.5,253,75.2,78,95.1,131,42.6,331,59.3,Europe
106,THE HONG KONG POLYTECHNIC UNIVERSITY,Hong Kong,L,CO,VH,2,A,58,120,39.3,234,65.2,224,49.2,241,99.6,64,78.6,155,59.1,Asia
107,YONSEI UNIVERSITY,South Korea,L,FC,VH,5,B,59.8,114,81.6,71,86.1,111,33.4,380,17.2,571,38,363,58.9,Asia
108,UNIVERSITY OF GENEVA,Switzerland,L,FC,VH,5,A,48,157,27.8,353,56.9,274,75,79,100,34,98.6,47,58.4,Europe
109,UNIVERSITY OF ALBERTA,Canada,XL,FC,VH,5,A,56.9,124,45.7,193,60.7,249,48.5,247,93.4,141,81.3,142,58.1,North America
110,UNIVERSITY OF HELSINKI,Finland,L,CO,VH,5,A,61.7,106,46.9,184,74.8,177,51,224,56.7,304,8.2,601+,57.9,Europe
111,NAGOYA UNIVERSITY,Japan,L,FC,VH,5,A,60.9,110,45.7,192,95.8,55,35.4,359,17.8,566,21,507,57.3,Asia
112,TECHNICAL UNIVERSITY OF DENMARK,Denmark,M,FO,VH,5,A,27.8,303,30.4,320,99.9,22,69.6,102,99.3,72,79.4,150,57.1,Europe
